id,Users,Tournaments,Matches,Teams,Points,"Bet At"
,,,,,,
122,"John Carter","Asia Cup 2016","South Africa Vs RR",Api,5,"2016-06-17 23:19:40"
121,"John Carter","Asia Cup 2016","South Africa Vs RR","South Africa",20,"2016-06-17 23:19:40"
120,"John Carter","Asia Cup 2016","South Africa Vs RR",RR,4,"2016-06-17 23:19:39"
119,"John Carter","Asia Cup 2016","India Vs KKR",KKR,5,"2016-06-17 23:19:31"
118,"John Carter","Asia Cup 2016","India Vs KKR",India,35,"2016-06-17 23:19:31"
50,"John Carter","Asia Cup 2016","Sri lanka Vs England",Api,4,"2016-06-14 17:24:19"
49,"John Carter","Asia Cup 2016","Sri lanka Vs England","Sri lanka",6,"2016-06-14 17:24:18"
48,"John Carter","Asia Cup 2016","Sri lanka Vs England",England,5,"2016-06-14 17:24:18"
37,"John Carter","IPL Season 8","South Africa Vs Sri lanka",Api,8,"2016-06-14 16:36:56"
36,"John Carter","IPL Season 8","South Africa Vs Sri lanka","Sri lanka",4,"2016-06-14 16:36:56"
