id,Users,Tournaments,Matches,Teams,Points,"Bet At"
,,,,,,
195,"Sachin M Bhalke","Tour 3",-,Api,9,"2016-06-26 01:32:40"
194,"Sachin M Bhalke","Tour 3",-,NewZealand,7,"2016-06-26 01:32:36"
193,"Sachin M Bhalke","Tour 3",-,India,6,"2016-06-26 01:32:31"
191,"Sachin M Bhalke","Tour 3","Match 1","South Africa",5,"2016-06-26 01:19:54"
192,"Sachin M Bhalke","Tour 3","Match 1",Api,8,"2016-06-26 01:19:54"
190,"Sachin M Bhalke","Tour 3","Match 1",NewZealand,4,"2016-06-26 01:19:53"
189,"Sachin M Bhalke","Tour 3","Match 1",Api,10,"2016-06-26 01:19:39"
187,"Sachin M Bhalke","Tour 3","Match 1",NewZealand,5,"2016-06-26 01:19:38"
188,"Sachin M Bhalke","Tour 3","Match 1","South Africa",5,"2016-06-26 01:19:38"
186,"Sachin M Bhalke","Tour 3",-,KKR,5,"2016-06-26 01:18:23"
